y_true_class, y_pred_class, y_pred_cont
1.300000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
8.000000000000000000e+00,7.000000000000000000e+00,9.540047112462005316e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
8.000000000000000000e+00,7.000000000000000000e+00,9.540047112462005316e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
8.000000000000000000e+00,7.000000000000000000e+00,9.540047112462005316e+03
9.000000000000000000e+00,8.000000000000000000e+00,1.081154855195911477e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
3.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.300000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
3.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
3.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
7.000000000000000000e+00,7.000000000000000000e+00,9.540047112462005316e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
5.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.300000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
3.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.100000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
3.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
8.000000000000000000e+00,7.000000000000000000e+00,9.540047112462005316e+03
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
5.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
3.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
3.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
3.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.200000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
5.000000000000000000e+00,7.000000000000000000e+00,9.540047112462005316e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
3.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
3.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
3.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
4.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.400000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
3.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
3.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
9.000000000000000000e+00,9.000000000000000000e+00,1.202567621145374505e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.200000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.100000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
5.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
6.000000000000000000e+00,6.000000000000000000e+00,8.327560398505604098e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
2.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
1.400000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
9.000000000000000000e+00,1.000000000000000000e+01,1.320066419753086484e+04
6.000000000000000000e+00,6.000000000000000000e+00,8.327560398505604098e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
3.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
5.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
6.000000000000000000e+00,7.000000000000000000e+00,9.540047112462005316e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.400000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
8.000000000000000000e+00,7.000000000000000000e+00,9.540047112462005316e+03
4.000000000000000000e+00,7.000000000000000000e+00,9.540047112462005316e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
6.000000000000000000e+00,6.000000000000000000e+00,8.327560398505604098e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
5.000000000000000000e+00,5.000000000000000000e+00,7.089760907504362876e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
1.300000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.400000000000000000e+01,1.300000000000000000e+01,1.695786614173228372e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
3.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
3.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
2.000000000000000000e+00,3.000000000000000000e+00,4.606485580389329698e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
2.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
7.000000000000000000e+00,8.000000000000000000e+00,1.081154855195911477e+04
8.000000000000000000e+00,8.000000000000000000e+00,1.081154855195911477e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.821623762376237210e+03
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
0.000000000000000000e+00,0.000000000000000000e+00,8.481303747534516333e+02
1.000000000000000000e+00,1.000000000000000000e+00,2.111433104060350615e+03
7.000000000000000000e+00,6.000000000000000000e+00,8.327560398505604098e+03
1.000000000000000000e+00,2.000000000000000000e+00,3.380077370141663778e+03
