y_true_class, y_pred_class, y_pred_cont
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
8.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,8.000000000000000000e+00,1.427377777777777794e+02
4.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
6.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
6.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.427377777777777794e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,9.000000000000000000e+00,1.476542857142856917e+02
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,8.000000000000000000e+00,1.427377777777777794e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
1.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
6.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
8.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
5.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
6.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,8.000000000000000000e+00,1.427377777777777794e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
5.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
6.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
4.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
6.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
0.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
5.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
4.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
5.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
3.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
6.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
5.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,9.000000000000000000e+00,1.476542857142856917e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,9.000000000000000000e+00,1.476542857142856917e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
6.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
8.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
1.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
5.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
6.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
5.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
1.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
5.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
3.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
5.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
4.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
8.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
5.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
4.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
0.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
5.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
0.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
5.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
3.000000000000000000e+00,8.000000000000000000e+00,1.427377777777777794e+02
4.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
5.000000000000000000e+00,6.000000000000000000e+00,1.245487499999999983e+02
3.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
0.000000000000000000e+00,0.000000000000000000e+00,7.580653846153846587e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
3.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
4.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
2.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
3.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
4.000000000000000000e+00,5.000000000000000000e+00,1.164061855670103114e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
2.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
3.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
1.000000000000000000e+00,2.000000000000000000e+00,9.209106221547800430e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.718580086580085720e+01
2.000000000000000000e+00,3.000000000000000000e+00,1.003733053221288429e+02
4.000000000000000000e+00,7.000000000000000000e+00,1.335467999999999904e+02
9.000000000000000000e+00,4.000000000000000000e+00,1.088815789473684248e+02
